Key	角色	台詞
AfterBattle_005	MainCharacter	（從箱底翻出一份折好的文件，皺眉看完。）
AfterBattle_006	MainCharacter	「兩個都不是。」
AfterBattle_007	MainCharacter	「『後續任務獨立執行，本部不再提供常規補給。』，看起來叫我們接下來閉嘴別再吵他們。」
AfterBattle_008	MainGirlA	「那……以後不會再有支援了？」
AfterBattle_009	MainGirlB	「哼，那群混帳。肯丟份文件告訴我們一聲，已經算是他們難得的好心了。」
AfterBattle_010	MainGirlA	「這樣我們應該就能聯繫到外面了！」
AfterBattle_011	MainCharacter	（回到基地後，將零件直接丟給諾拉。）
AfterBattle_012	MainCharacter	「修好它。現在、立刻、馬上。修不好的話，妳怎麼把基地炸掉的，我就怎麼把妳炸掉。」
AfterBattle_013	MainGirlC	「粗魯的男人。只要有零件，這種低階設備我閉著眼睛都能修。」
AfterBattle_014	MainCharacter	（諾拉沒有親自動手，而是打開了筆記型電腦，敲了幾下鍵盤。）
AfterBattle_015	MainCharacter	（只見幾台手掌大小的維修機器人從她剛搬來時帶進來的工具箱裡爬了出來，靈活地鑽進焦黑的機房。）
AfterBattle_016	MainGirlC	「修復程序啟動。爛線路切掉，新晶片焊上，系統順便重接一遍。」
AfterBattle_017	MainCharacter	（她雙手在筆記型電腦的鍵盤上飛快敲打，指揮著機器人鑽進焦黑機房，動作分工得像排練過。）
AfterBattle_018	MainCharacter	（眼前的一幕像場精密的機械手術，焊點的藍光在煙霧裡閃個不停，動作快得讓人眼花。）
AfterBattle_019	MainCharacter	（她趴在電腦前，沒做多餘動作，每個指令打下去機器人就自動接著做完。看樣子根本不是今天才設定。）
AfterBattle_020	MainGirlB	「哼，雖然不想承認，但這女人的技術確實有點東西。這線路接得比原廠還漂亮，連我都做不到這種精細度。」
AfterBattle_021	MainGirlC	（諾拉頭也沒抬。）
AfterBattle_022	MainGirlC	「妳的檢修判斷也很可靠。但根據觀察，妳一邊對著設備大罵、一邊作業並不會增加妳的效率。」
AfterBattle_023	MainGirlB	「臭女人，妳是在誇我還是在找我吵架？」
AfterBattle_024	MainGirlC	「兩個都有。重點是後者。」
AfterBattle_025	MainGirlA	「哇……好多機器人在動，好厲害……」
AfterBattle_026	MainGirlA	（瑟琳在一旁看得目瞪口呆，還貼心地遞上了一杯水。）
AfterBattle_027	MainGirlC	「剛好需要補充水分。」
AfterBattle_028	MainGirlC	「好了。通訊重啟，定位修復。順便把防火牆也升級了一輪。」
AfterBattle_029	MainCharacter	（看著重新亮起的螢幕，訊號比之前更穩，雜訊也完全消失。）
AfterBattle_030	MainCharacter	「行了，這次算妳功過相抵。但下次要改裝什麼之前，必須先和我報告，懂嗎？」
AfterBattle_031	MainGirlC	「如果我記得的話。」
AfterBattle_032	MainGirlC	「既然你們接下來拿不到常規的物資補給，我之前去研究所的路上，有經過附近一座廢棄村落。建築結構還在，應該還有物資可以搜索。」
AfterBattle_033	MainCharacter	「妳是不是想岔開話題？」
AfterBattle_034	MainGirlC	「應該還有物資可以搜索。」
AfterBattle_035	MainGirlA	「那個……最近蟲災越來越嚴重，撤離、廢棄的村落越來越多。那邊應該會有一些殘留的物資沒錯。」
AfterBattle_036	MainCharacter	「行。全員休息，隔天出發。」
AfterBattle_037	MainGirlC	「做了一堆預期外的事，額外浪費了我不少精神力。先去睡了。」
AfterBattle_038	MainCharacter	（看著她搖搖晃晃、像幽靈一樣飄回房間的背影，深深地嘆了口氣。）
AfterBattle_039	MainCharacter	「瑟琳、莉娜，妳們也去休息吧。今晚我來守夜，確定設備沒有問題。」
AfterBattle_040	MainCharacter	（試著呼叫組織，沒收到任何回應。我把通訊器丟回桌上，看著那份叫我們自生自滅的文件，想想現在的狀況。）
AfterBattle_041	MainCharacter	（唉，我這哪是在出任務，根本是在開托兒所……而且還全都是問題兒童。）

